slug,gamma_metadata_status,gamma_winner_status,public_trade_fetch_status,public_price_history_status,public_trade_rows,gamma_official_strike_available,local_chainlink_strike_available,reconstructed_strike_available,selected_strike_source,selected_strike_confidence,btc_candles_market_window,lifecycle_points_available,excluded_from_distance_analysis,exclusion_reason
btc-updown-15m-1786933800,success,resolved,success,success,978,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786950000,success,resolved,success,success,811,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786971600,success,resolved,success,success,1308,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1787014800,success,resolved,success,success,1244,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1787036400,success,resolved,success,success,1333,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1787058000,success,resolved,success,success,653,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1787144400,success,resolved,success,success,1175,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1787166000,success,resolved,success,success,1626,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1787187600,success,resolved,success,success,1275,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1787252400,success,resolved,success,success,1596,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1787274000,success,resolved,success,success,817,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1787295600,success,resolved,success,success,1327,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1787317200,success,resolved,success,success,1778,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1787360400,success,resolved,success,success,676,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1787376600,success,resolved,success,success,1488,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1787387400,success,resolved,success,success,1783,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1787398200,success,resolved,success,success,490,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1787419800,success,resolved,success,success,747,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1787430600,success,resolved,success,success,1073,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1787441400,success,resolved,success,success,686,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
