slug,lifecycle_time,day_type,hour_block,abs_distance_bps,safety_sigma,volatility_source,prior_return_count,remaining_volatility_usd,future_data_used_for_features
btc-updown-15m-1785351600,T-5m,weekday,12-18,5.816917182726361,0.19052766524268575,VOLATILITY_PROXY_PRIOR_60M,60,196.92678200935006,False
btc-updown-15m-1785351600,T-3m,weekday,12-18,36.12938113706369,1.5855583782615155,VOLATILITY_PROXY_PRIOR_60M,60,146.9766129049819,False
btc-updown-15m-1785351600,T-2m,weekday,12-18,43.70129572140275,2.352982739184905,VOLATILITY_PROXY_PRIOR_60M,60,119.7968838894429,False
btc-updown-15m-1785351600,T-1m,weekday,12-18,27.1466470867661,2.071202193096428,VOLATILITY_PROXY_PRIOR_60M,60,84.54027355881931,False
btc-updown-15m-1785373200,T+1m,weekday,18-24,0.756710863604862,0.0417782952011033,VOLATILITY_PROXY_PRIOR_60M,60,115.3709115414652,False
btc-updown-15m-1785373200,T+2m,weekday,18-24,1.9090464940731982,0.108944499630014,VOLATILITY_PROXY_PRIOR_60M,60,111.61646564344915,False
btc-updown-15m-1785373200,T+3m,weekday,18-24,9.934577479028565,0.5743195837734762,VOLATILITY_PROXY_PRIOR_60M,60,110.18255652058315,False
btc-updown-15m-1785373200,T+5m,weekday,18-24,20.862926693870488,1.290254499347795,VOLATILITY_PROXY_PRIOR_60M,60,102.99518433547289,False
btc-updown-15m-1785373200,T+10m,weekday,18-24,17.17827856756176,1.4226765704478634,VOLATILITY_PROXY_PRIOR_60M,60,76.91136711807411,False
btc-updown-15m-1785373200,T-5m,weekday,18-24,20.862926693870488,1.290254499347795,VOLATILITY_PROXY_PRIOR_60M,60,102.99518433547289,False
btc-updown-15m-1785373200,T-3m,weekday,18-24,24.06560337800767,1.839503405126466,VOLATILITY_PROXY_PRIOR_60M,60,83.33227303238516,False
btc-updown-15m-1785373200,T-2m,weekday,18-24,13.170222893737607,1.2167991439893058,VOLATILITY_PROXY_PRIOR_60M,60,68.94317802111858,False
btc-updown-15m-1785373200,T-1m,weekday,18-24,11.81693500073423,1.5569059921076684,VOLATILITY_PROXY_PRIOR_60M,60,48.34588625232259,False
btc-updown-15m-1785394800,T+1m,weekday,00-06,7.185712946470105,0.7023230132449189,VOLATILITY_PROXY_PRIOR_60M,60,65.48268977761664,False
btc-updown-15m-1785394800,T+2m,weekday,00-06,18.650979656886133,1.6636688500385441,VOLATILITY_PROXY_PRIOR_60M,60,71.751057908692,False
btc-updown-15m-1785394800,T+3m,weekday,00-06,18.92128370988384,1.760086662093275,VOLATILITY_PROXY_PRIOR_60M,60,68.80343031289951,False
btc-updown-15m-1785394800,T+5m,weekday,00-06,15.312021499328146,1.5226106111385513,VOLATILITY_PROXY_PRIOR_60M,60,64.36314004584486,False
btc-updown-15m-1785394800,T+10m,weekday,00-06,10.623105527951934,1.441747627735464,VOLATILITY_PROXY_PRIOR_60M,60,47.15804534167263,False
btc-updown-15m-1785394800,T-5m,weekday,00-06,15.312021499328146,1.5226106111385513,VOLATILITY_PROXY_PRIOR_60M,60,64.36314004584486,False
btc-updown-15m-1785394800,T-3m,weekday,00-06,2.7827255398265165,0.3560506347546448,VOLATILITY_PROXY_PRIOR_60M,60,50.020975281424725,False
btc-updown-15m-1785394800,T-2m,weekday,00-06,9.06377925689854,1.373319297784148,VOLATILITY_PROXY_PRIOR_60M,60,42.240722964864204,False
btc-updown-15m-1785394800,T-1m,weekday,00-06,14.08705977938244,3.0108731335310797,VOLATILITY_PROXY_PRIOR_60M,60,29.944802056228127,False
btc-updown-15m-1785416400,T+1m,weekday,06-12,2.9249133615707295,0.2135623816906829,VOLATILITY_PROXY_PRIOR_60M,60,88.92015461553753,False
btc-updown-15m-1785416400,T+2m,weekday,06-12,2.9942241047365927,0.22707234118845274,VOLATILITY_PROXY_PRIOR_60M,60,85.61148353981434,False
btc-updown-15m-1785416400,T+3m,weekday,06-12,7.547169811320754,0.6009263449990799,VOLATILITY_PROXY_PRIOR_60M,60,81.54077518447794,False
btc-updown-15m-1785416400,T+5m,weekday,06-12,8.023103581054526,0.729083969496172,VOLATILITY_PROXY_PRIOR_60M,60,71.4458171889212,False
btc-updown-15m-1785416400,T+10m,weekday,06-12,7.239122063919908,0.9084373193366964,VOLATILITY_PROXY_PRIOR_60M,60,51.73719639162058,False
btc-updown-15m-1785416400,T-5m,weekday,06-12,8.023103581054526,0.729083969496172,VOLATILITY_PROXY_PRIOR_60M,60,71.4458171889212,False
btc-updown-15m-1785416400,T-3m,weekday,06-12,7.239122063919908,0.828939799432053,VOLATILITY_PROXY_PRIOR_60M,60,56.69893040749399,False
btc-updown-15m-1785416400,T-2m,weekday,06-12,10.31959953792838,1.4407897539140109,VOLATILITY_PROXY_PRIOR_60M,60,46.50227406045163,False
btc-updown-15m-1785416400,T-1m,weekday,06-12,10.492106276473256,2.1198075394843787,VOLATILITY_PROXY_PRIOR_60M,60,32.134992791172024,False
btc-updown-15m-1785459600,T+1m,weekday,18-24,16.23795228143207,1.1334701088594172,VOLATILITY_PROXY_PRIOR_60M,60,92.72410377522708,False
btc-updown-15m-1785459600,T+2m,weekday,18-24,23.327958277577824,1.6502754912869781,VOLATILITY_PROXY_PRIOR_60M,60,91.493814697719,False
btc-updown-15m-1785459600,T+3m,weekday,18-24,32.336854543327384,2.2914166204693656,VOLATILITY_PROXY_PRIOR_60M,60,91.34087539136527,False
btc-updown-15m-1785459600,T+5m,weekday,18-24,35.65706000981594,2.7471773477054025,VOLATILITY_PROXY_PRIOR_60M,60,84.00986568732537,False
