lifecycle_time,strike_confidence,metric,weekday_n,weekend_n,weekend_minus_weekday,bootstrap_ci_low,bootstrap_ci_high,permutation_p,cohens_d
T+10m,ALL,mean_abs_distance_usd,100,100,-34.17648575069856,-55.87126477757726,-13.13279724583048,0.001998001998001998,-0.4418313343960506
T+10m,ALL,mean_abs_distance_bps,100,100,-5.0448988728278055,-7.977005816934994,-2.272377057709378,0.001998001998001998,-0.4749410757903969
T+10m,HIGH,mean_abs_distance_usd,6,0,,,,,
T+10m,HIGH,mean_abs_distance_bps,6,0,,,,,
T+10m,LOW_PROXY,mean_abs_distance_usd,94,100,-34.86106808510637,-58.43978010638262,-14.506858989361199,0.001998001998001998,-0.44609742126528884
T+10m,LOW_PROXY,mean_abs_distance_bps,94,100,-5.1860610357678185,-8.564526918983178,-2.319223736725933,0.000999000999000999,-0.48324473366967696
T-5m,ALL,mean_abs_distance_usd,100,100,-38.16688696844335,-53.01612687295942,-24.30425613150177,0.000999000999000999,-0.7189365735335272
T-5m,ALL,mean_abs_distance_bps,100,100,-5.299823189172342,-7.307293654869191,-3.411366269909176,0.000999000999000999,-0.7583805188584086
T-5m,HIGH,mean_abs_distance_usd,6,0,,,,,
T-5m,HIGH,mean_abs_distance_bps,6,0,,,,,
T-5m,LOW_PROXY,mean_abs_distance_usd,94,100,-37.06767234042586,-51.949815425532236,-23.46154005319128,0.000999000999000999,-0.7022615029084421
T-5m,LOW_PROXY,mean_abs_distance_bps,94,100,-5.190805025851432,-7.260113867225481,-3.19431186238394,0.000999000999000999,-0.7462508546328868
T-3m,ALL,mean_abs_distance_usd,100,100,-34.022086968443176,-53.63860089102286,-15.478085637056683,0.000999000999000999,-0.494367101987661
T-3m,ALL,mean_abs_distance_bps,100,100,-4.94053871374862,-7.448295423573815,-2.312146773263566,0.000999000999000999,-0.5355153966338189
T-3m,HIGH,mean_abs_distance_usd,6,0,,,,,
T-3m,HIGH,mean_abs_distance_bps,6,0,,,,,
T-3m,LOW_PROXY,mean_abs_distance_usd,94,100,-34.028631914893765,-54.40466356382958,-14.961883404255929,0.000999000999000999,-0.49299929430039263
T-3m,LOW_PROXY,mean_abs_distance_bps,94,100,-4.986494137212197,-7.63230257963038,-2.5435845881135224,0.000999000999000999,-0.5385536535813048
T-2m,ALL,mean_abs_distance_usd,100,100,-39.57708575069948,-62.05994735564186,-18.05890037488537,0.000999000999000999,-0.5078392399403318
T-2m,ALL,mean_abs_distance_bps,100,100,-5.794501518322975,-8.849654821039508,-2.894140846291024,0.000999000999000999,-0.5375290191626518
T-2m,HIGH,mean_abs_distance_usd,6,0,,,,,
T-2m,HIGH,mean_abs_distance_bps,6,0,,,,,
T-2m,LOW_PROXY,mean_abs_distance_usd,94,100,-40.56497659574568,-65.19990760638424,-18.986548297873107,0.000999000999000999,-0.5140688010831614
T-2m,LOW_PROXY,mean_abs_distance_bps,94,100,-5.980433813438693,-9.39791200365162,-3.0849764373391464,0.000999000999000999,-0.5480881375934445
T-1m,ALL,mean_abs_distance_usd,100,100,-36.72354775132414,-60.116584441387175,-13.230002048587734,0.002997002997002997,-0.445815459202893
T-1m,ALL,mean_abs_distance_bps,100,100,-5.407784904037829,-8.407845397168861,-2.4697203605487763,0.000999000999000999,-0.4878918332262386
T-1m,HIGH,mean_abs_distance_usd,6,0,,,,,
T-1m,HIGH,mean_abs_distance_bps,6,0,,,,,
T-1m,LOW_PROXY,mean_abs_distance_usd,94,100,-38.4757148936176,-64.45520702127887,-15.115614521277909,0.002997002997002997,-0.463409259202717
T-1m,LOW_PROXY,mean_abs_distance_bps,94,100,-5.691204661613115,-8.985268154969141,-2.432429179069593,0.000999000999000999,-0.5096528315803421
