market_slug,condition_id,token_ids,identity_source,gamma_status,trade_fetch_status,trade_rows_raw,trade_rows_matched,trade_identity_mismatch_count,trade_error_code,trade_error_endpoint,price_fetch_status,price_points,price_error_code,price_error_endpoint,gamma_error_code,gamma_error_endpoint,cache_used,fetch_status,error_code,error_stage,error_endpoint,error_message,market_start_epoch,sample_group,weekend_et,sample_frame_start,sample_frame_end,local_date,local_hour,time_bucket,week_index
btc-updown-15m-1786755600,0xbec08e2d5af905bb230fb1b64538e28205a48b83adb3f488dd3a8406697ee0f5,"[""70677842468209250125378150323064018707577181572973232924481962443424699364056"", ""13410585865436668653454822975143482959679859594709658992519234780636746365554""]",GAMMA,success,success,1774,1755,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1786755600,weekday,False,2026-07-27,2026-09-20,2026-08-14,21,18-24,2
btc-updown-15m-1786777200,0x82c9bde995f24cf040903dc30039d7221f079d685da92b3eab3c3c56b0fd7a16,"[""90833590059729793088150434968183046302268140302682243689997150374447933892410"", ""51727274740545354578972752185950071413976833454460106509089931566228638134680""]",GAMMA,success,success,952,896,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1786777200,weekend,True,2026-07-27,2026-09-20,2026-08-15,3,00-06,2
btc-updown-15m-1786798800,0x9a181ee23af876d653a00e1bb60c786aade144b4553db6a4fdc41b9e7ec567ff,"[""62355461709155541231453925837834797955722045248325982768845175773587557827954"", ""78067198617234479445713921828823960948799398616689572433580470741608419858693""]",GAMMA,success,success,1064,985,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1786798800,weekend,True,2026-07-27,2026-09-20,2026-08-15,9,06-12,2
btc-updown-15m-1786820400,0x0deb55114a47423c51e120f2a75d2c40a7510eb055b10553dfc271b3700c091c,"[""82275498972997903515529577899947947299962034334369439024488155628541135176222"", ""65107159260625974636713380625781272169580733328982640158002281903225968691102""]",GAMMA,success,success,600,567,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1786820400,weekend,True,2026-07-27,2026-09-20,2026-08-15,15,12-18,2
btc-updown-15m-1786842000,0x7b5af08310de6e3488d08c5cfde28cf70c8b089a30f14712cb04994deee5128b,"[""38830211754757220412665419964042196786701297600748255342082257930966299195117"", ""81681199257268410856107378366084822472071179985144686407971721759372814193910""]",GAMMA,success,success,632,615,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1786842000,weekend,True,2026-07-27,2026-09-20,2026-08-15,21,18-24,2
btc-updown-15m-1786885200,0xb87bb4ae2cb177bcdc0ed343a75e7506a32e3652fb9adcf9476a338a7f2021e1,"[""99706726947114180316145830246235631678698986908401942155508929194019649197793"", ""45131377685661255414863442032468767945697935287541398669202924949472034907023""]",GAMMA,success,success,586,559,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1786885200,weekend,True,2026-07-27,2026-09-20,2026-08-16,9,06-12,2
btc-updown-15m-1786906800,0x6558c0ec7e2c5f13150118fc1a22bd7604489fa6b43f0087127e51937a616e74,"[""46604807133812447661980762665286480989762361678163106240229123170683173544115"", ""49079310018869966355369856099901657345098902193474950923099048870521141527114""]",GAMMA,success,success,557,537,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1786906800,weekend,True,2026-07-27,2026-09-20,2026-08-16,15,12-18,2
btc-updown-15m-1786928400,0x0888f1c06de541b493529263ecc6971dee49034c71f26ad4e3d6af8efe7a5fbf,"[""102603109108419364358132407763521562036888981142587781564027832269827206297255"", ""58776813179783544215890123405258712666881516008305843097064799267879372713347""]",GAMMA,success,success,796,782,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1786928400,weekend,True,2026-07-27,2026-09-20,2026-08-16,21,18-24,2
btc-updown-15m-1786950000,0xb6860c4f97b4826b68434b2336ad87be6a0b60e4da85c9951c4de3340323fd7d,"[""9361227477194282927099891483352675143342582700250465520552014878999977778960"", ""28471294718426983741401305644159502782436358844280803315109722626561914754774""]",GAMMA,success,success,846,811,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1786950000,weekday,False,2026-07-27,2026-09-20,2026-08-17,3,00-06,3
btc-updown-15m-1787036400,0x4779c69343f209c6579cbd80f618d10899e0a3874a64cb5d4ce2d744b204af80,"[""2444479711621374834705154801440373424122566963836403827364533548506651562598"", ""63724266151685253797306288967646260675242472553341946743779986826435161081064""]",GAMMA,success,success,1403,1333,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1787036400,weekday,False,2026-07-27,2026-09-20,2026-08-18,3,00-06,3
