run_id,client_order_id,market_slug,weekend_et,weekend_utc,instrument_id,side,entry_source,order_type,intended_price,submitted_size,filled_size,fill_vwap,fill_count,was_submitted,was_filled,was_canceled,partial_fill,fill_rate,entry_slippage,exit_slippage,submit_to_fill_sec,cancel_latency_sec,first_event_ts,first_fill_ts,exit_reason,realized_pnl
run_1789393085_ddd3969a,BTC-15M-FAST-FOLLOW-BUY-1789394596376,btc-updown-15m-1789394400,False,False,0x2c26a91c98368d330248247a4bd7ce6d9cac234c6f55f9d499f1ec4faf04e21e-48087117032508445686019288993475760317691569424984587216380460868513192769308.POLYMARKET,BUY,outcome_fast_follow,fast_follow,0.77,5.0,0,,0,True,False,False,False,,,,,,2026-09-14T14:03:16.616002+00:00,,outcome_then_twap_confirmed,
run_1789393085_ddd3969a,BTC-15M-FAST-FOLLOW-BUY-1789395564350,btc-updown-15m-1789395300,False,False,0x084cf7c1de59c3f56772c57bcdbfde3fa87dc3ce23c1405d1ed6cda916a40daa-65487325422763182815466373779556042611874744865387727995857331201067554932860.POLYMARKET,BUY,outcome_fast_follow,fast_follow,0.73,5.0,5.367646,0.68,1,True,True,False,False,1.0,-0.04999999999999993,,3.436655,,2026-09-14T14:19:24.400004+00:00,2026-09-14T14:19:27.836659+00:00,outcome_then_twap_confirmed,
run_1789393085_ddd3969a,BTC-15M-MAKER-SELL-1789395580596,btc-updown-15m-1789395300,False,False,0x084cf7c1de59c3f56772c57bcdbfde3fa87dc3ce23c1405d1ed6cda916a40daa-65487325422763182815466373779556042611874744865387727995857331201067554932860.POLYMARKET,SELL,unknown,maker,0.97,5.2835500165888,0,,0,True,False,True,False,,,,,184.055737,2026-09-14T14:19:40.612557+00:00,,,
run_1789393085_ddd3969a,BTC-15M-MAKER-SELL-1789395765858,btc-updown-15m-1789395300,False,False,0x084cf7c1de59c3f56772c57bcdbfde3fa87dc3ce23c1405d1ed6cda916a40daa-65487325422763182815466373779556042611874744865387727995857331201067554932860.POLYMARKET,SELL,unknown,maker,0.97,5.2835500165888,0,,0,True,False,True,False,,,,,48.287209,2026-09-14T14:22:45.896640+00:00,,,
run_1789393085_ddd3969a,BTC-15M-MAKER-SELL-1789395818658,btc-updown-15m-1789395300,False,False,0x084cf7c1de59c3f56772c57bcdbfde3fa87dc3ce23c1405d1ed6cda916a40daa-65487325422763182815466373779556042611874744865387727995857331201067554932860.POLYMARKET,SELL,unknown,maker,0.97,5.2835500165888,0,,0,True,False,True,False,,,,,49.718014,2026-09-14T14:23:38.676221+00:00,,,
run_1789393085_ddd3969a,BTC-15M-MAKER-SELL-1789395870887,btc-updown-15m-1789395300,False,False,0x084cf7c1de59c3f56772c57bcdbfde3fa87dc3ce23c1405d1ed6cda916a40daa-65487325422763182815466373779556042611874744865387727995857331201067554932860.POLYMARKET,SELL,unknown,maker,0.97,5.2835500165888,0,,0,True,False,True,False,,,,,48.947794,2026-09-14T14:24:30.911633+00:00,,,
run_1789393085_ddd3969a,BTC-15M-MAKER-SELL-1789395920306,btc-updown-15m-1789395300,False,False,0x084cf7c1de59c3f56772c57bcdbfde3fa87dc3ce23c1405d1ed6cda916a40daa-65487325422763182815466373779556042611874744865387727995857331201067554932860.POLYMARKET,SELL,unknown,maker,0.97,5.2835500165888,0,,0,True,False,True,False,,,,,47.776726,2026-09-14T14:25:20.323159+00:00,,,
run_1789393085_ddd3969a,BTC-15M-MAKER-SELL-1789395972274,btc-updown-15m-1789395300,False,False,0x084cf7c1de59c3f56772c57bcdbfde3fa87dc3ce23c1405d1ed6cda916a40daa-65487325422763182815466373779556042611874744865387727995857331201067554932860.POLYMARKET,SELL,unknown,maker,0.97,5.2835500165888,0,,0,True,False,True,False,,,,,47.220364,2026-09-14T14:26:12.324291+00:00,,,
run_1789393085_ddd3969a,BTC-15M-MAKER-SELL-1789396020554,btc-updown-15m-1789395300,False,False,0x084cf7c1de59c3f56772c57bcdbfde3fa87dc3ce23c1405d1ed6cda916a40daa-65487325422763182815466373779556042611874744865387727995857331201067554932860.POLYMARKET,SELL,unknown,maker,0.97,5.2835500165888,0,,0,True,False,True,False,,,,,46.302086,2026-09-14T14:27:00.574503+00:00,,,
run_1789393085_ddd3969a,BTC-15M-MAKER-SELL-1789396067896,btc-updown-15m-1789395300,False,False,0x084cf7c1de59c3f56772c57bcdbfde3fa87dc3ce23c1405d1ed6cda916a40daa-65487325422763182815466373779556042611874744865387727995857331201067554932860.POLYMARKET,SELL,unknown,maker,0.97,5.2835500165888,0,,0,True,False,True,False,,,,,13.700269,2026-09-14T14:27:47.911969+00:00,,,
