observation_sec,threshold_bps,entry_delay_sec,execution_model,slippage_cents,partition,n,trades,no_trades,win_rate,mean_entry,break_even_win_rate,edge_per_share,gross_pnl,fee_estimate,net_pnl,pnl_per_trade,roi,profit_factor,max_drawdown,longest_losing_streak,average_win,average_loss,p10,p5,p1,worst_trade,markets_with_valid_btc,signal_markets,no_trade_markets,no_fill_markets,bootstrap_mean_pnl_low,bootstrap_mean_pnl_high,method_note
60,0,0,first_trade,0,all,181,181,,0.6740331491712708,0.5936698173386741,0.5936698173386741,0.08036333183259668,272.7919447000102,18.1,254.69194470001025,1.4071378160221562,0.14071378160221562,1.427407190300403,66.63014707485004,5,6.972065120491887,-10.1,-10.1,-10.1,-10.1,-10.1,200,184,16,3,0.19806116443446503,2.594333652645274,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,5,vwap_10s,0,all,171,171,,0.6842105263157895,0.5969733609591025,0.5969733609591025,0.08723716535668705,268.28085190981824,17.1,251.1808519098183,1.4688938708176509,0.14688938708176508,1.4605442829296267,68.3616953630403,5,6.808383349656566,-10.1,-10.1,-10.1,-10.1,-10.1,200,184,16,13,0.22517041106526028,2.7384888382423815,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,5,vwap_10s,0,development,111,111,,0.7027027027027027,0.5999125136488288,0.5999125136488288,0.10279018905387391,200.0920423759642,11.100000000000001,188.99204237596425,1.7026310123960742,0.17026310123960742,1.5670328304109338,68.3616953630403,5,6.696051825332875,-10.1,-10.1,-10.1,-10.1,-10.1,127,118,9,7,0.26872468912210645,3.0945876775769263,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,5,vwap_10s,0,holdout,60,60,,0.65,0.5915359284831087,0.5915359284831087,0.058464071516891376,68.18880953385404,6.0,62.188809533854055,1.0364801588975676,0.10364801588975676,1.293205136887572,58.354320948616575,3,7.0330463983039495,-10.1,-10.1,-10.1,-10.1,-10.1,73,66,7,6,-1.5668905133080377,3.6558664807258063,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,5,vwap_10s,0.01,all,171,171,,0.6842105263157895,0.6069733609591025,0.6069733609591025,0.07723716535668705,234.5508231674355,17.1,217.45082316743554,1.2716422407452372,0.1271642240745237,1.3986997124448763,68.96839720201746,5,6.520092505704577,-10.1,-10.1,-10.1,-10.1,-10.1,200,184,16,13,0.04933942427054307,2.5182529467597385,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,5,vwap_10s,0.01,development,111,111,,0.7027027027027027,0.6099125136488288,0.6099125136488288,0.0927901890538739,177.89465938317574,11.100000000000001,166.79465938317577,1.5026545890376197,0.15026545890376194,1.5004340215516825,68.96839720201746,5,6.411469992091997,-10.1,-10.1,-10.1,-10.1,-10.1,127,118,9,7,0.09566809185765598,2.859062308254965,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,5,vwap_10s,0.01,holdout,60,60,,0.65,0.6015359284831087,0.6015359284831087,0.04846407151689137,56.65616378425976,6.0,50.65616378425978,0.8442693964043296,0.08442693964043296,1.2388315124198954,59.7193409152585,3,6.737337532929738,-10.1,-10.1,-10.1,-10.1,-10.1,73,66,7,6,-1.7161090647869799,3.4167147690972497,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,5,vwap_10s,0.02,all,171,171,,0.6842105263157895,0.6169733609591024,0.6169733609591024,0.06723716535668704,201.98162134366436,17.1,184.8816213436644,1.081179072185172,0.10811790721851719,1.3389835374837997,69.55793283074058,5,6.241723259347559,-10.1,-10.1,-10.1,-10.1,-10.1,200,184,16,13,-0.12045889478088703,2.305677781512047,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,5,vwap_10s,0.02,development,111,111,,0.7027027027027027,0.6199125136488288,0.6199125136488288,0.08279018905387389,156.4574964764791,11.100000000000001,145.35749647647913,1.3095269952835957,0.13095269952835958,1.4361161010395413,69.55793283074058,5,6.136634570211271,-10.1,-10.1,-10.1,-10.1,-10.1,127,118,9,7,-0.07601732494371402,2.636672489658809,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,5,vwap_10s,0.02,holdout,60,60,,0.65,0.6115359284831087,0.6115359284831087,0.03846407151689136,45.52412486718526,6.0,39.52412486718528,0.6587354144530879,0.0658735414453088,1.1863466518962058,62.06548400613882,3,6.451900637620135,-10.1,-10.1,-10.1,-10.1,-10.1,73,66,7,6,-1.8601469786256744,3.1859596229276805,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,5,vwap_5s,0,all,165,165,,0.6909090909090909,0.5967182634964582,0.5967182634964582,0.0941908274126327,275.34032552974116,16.5,258.8403255297412,1.5687292456347954,0.15687292456347954,1.5025050000577387,57.712985478158004,5,6.788950223945099,-10.1,-10.1,-10.1,-10.1,-10.1,200,184,16,19,0.30946258976344915,2.83454680223017,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
