slug,local_date,week,weekday_weekend,et_hour_block,winner,signal_family,side,observation_sec,entry_price,entry_status,notional,gross_pnl,fee_usdc,net_pnl
btc-updown-15m-1788764400,2026-09-07,2026-09-07,weekday,00-06,DOWN,btc_continuation_120s,DOWN,180,0.6700240733471551,proxy_trade_print,10.0,4.924836879433684,0.1,4.8248368794336844
btc-updown-15m-1788807600,2026-09-07,2026-09-07,weekday,12-18,DOWN,always_up,UP,180,0.3862766475606319,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1788807600,2026-09-07,2026-09-07,weekday,12-18,DOWN,always_down,DOWN,180,0.6566467383572772,proxy_trade_print,10.0,5.228888557364716,0.1,5.128888557364716
btc-updown-15m-1788807600,2026-09-07,2026-09-07,weekday,12-18,DOWN,random_side,DOWN,180,0.6566467383572772,proxy_trade_print,10.0,5.228888557364716,0.1,5.128888557364716
btc-updown-15m-1788807600,2026-09-07,2026-09-07,weekday,12-18,DOWN,polymarket_leader,DOWN,180,0.6566467383572772,proxy_trade_print,10.0,5.228888557364716,0.1,5.128888557364716
btc-updown-15m-1788807600,2026-09-07,2026-09-07,weekday,12-18,DOWN,btc_trend_180s,DOWN,180,0.6566467383572772,proxy_trade_print,10.0,5.228888557364716,0.1,5.128888557364716
btc-updown-15m-1788807600,2026-09-07,2026-09-07,weekday,12-18,DOWN,btc_ema_1m_3m,DOWN,180,0.6566467383572772,proxy_trade_print,10.0,5.228888557364716,0.1,5.128888557364716
btc-updown-15m-1788807600,2026-09-07,2026-09-07,weekday,12-18,DOWN,btc_continuation_60s,DOWN,180,0.6566467383572772,proxy_trade_print,10.0,5.228888557364716,0.1,5.128888557364716
btc-updown-15m-1788807600,2026-09-07,2026-09-07,weekday,12-18,DOWN,btc_continuation_120s,DOWN,180,0.6566467383572772,proxy_trade_print,10.0,5.228888557364716,0.1,5.128888557364716
btc-updown-15m-1788850800,2026-09-08,2026-09-07,weekday,00-06,UP,always_up,UP,180,0.44375,proxy_trade_print,10.0,12.535211267605636,0.1,12.435211267605636
btc-updown-15m-1788850800,2026-09-08,2026-09-07,weekday,00-06,UP,always_down,DOWN,180,0.5581395348837209,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1788850800,2026-09-08,2026-09-07,weekday,00-06,UP,random_side,DOWN,180,0.5581395348837209,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1788850800,2026-09-08,2026-09-07,weekday,00-06,UP,polymarket_leader,DOWN,180,0.5581395348837209,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1788850800,2026-09-08,2026-09-07,weekday,00-06,UP,btc_trend_180s,DOWN,180,0.5581395348837209,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1788850800,2026-09-08,2026-09-07,weekday,00-06,UP,btc_ema_1m_3m,DOWN,180,0.5581395348837209,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1788850800,2026-09-08,2026-09-07,weekday,00-06,UP,btc_continuation_60s,DOWN,180,0.5581395348837209,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1788850800,2026-09-08,2026-09-07,weekday,00-06,UP,btc_continuation_120s,DOWN,180,0.5581395348837209,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1788872400,2026-09-08,2026-09-07,weekday,06-12,UP,always_up,UP,180,0.7300000000000001,proxy_trade_print,10.0,3.6986301369862993,0.1,3.598630136986299
btc-updown-15m-1788872400,2026-09-08,2026-09-07,weekday,06-12,UP,always_down,DOWN,180,0.2799999664,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1788872400,2026-09-08,2026-09-07,weekday,06-12,UP,random_side,DOWN,180,0.2799999664,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1788872400,2026-09-08,2026-09-07,weekday,06-12,UP,polymarket_leader,UP,180,0.7300000000000001,proxy_trade_print,10.0,3.6986301369862993,0.1,3.598630136986299
btc-updown-15m-1788872400,2026-09-08,2026-09-07,weekday,06-12,UP,btc_trend_180s,UP,180,0.7300000000000001,proxy_trade_print,10.0,3.6986301369862993,0.1,3.598630136986299
btc-updown-15m-1788872400,2026-09-08,2026-09-07,weekday,06-12,UP,btc_ema_1m_3m,UP,180,0.7300000000000001,proxy_trade_print,10.0,3.6986301369862993,0.1,3.598630136986299
btc-updown-15m-1788872400,2026-09-08,2026-09-07,weekday,06-12,UP,btc_continuation_60s,UP,180,0.7300000000000001,proxy_trade_print,10.0,3.6986301369862993,0.1,3.598630136986299
