slug,weekday_weekend,week,et_hour_block,time_to_resolution_bin,trade_count,volume_shares,volume_usdc_estimate,median_trade_size,max_no_trade_interval_sec,price_jump_count_5c
btc-updown-15m-1785524400,weekday,2026-07-27,12-18,T-5m_to_T-2m,191,3659.424685,1861.8954209981448,8.510633,9.0,49
btc-updown-15m-1785524400,weekday,2026-07-27,12-18,T-2m_to_T-1m,61,1529.371273,887.7556130067355,11.0,8.0,13
btc-updown-15m-1785524400,weekday,2026-07-27,12-18,T-60s_to_T-30s,17,231.601806,206.33543999918038,6.061223,7.0,6
btc-updown-15m-1785524400,weekday,2026-07-27,12-18,T-30s_to_T-15s,27,932.344301,915.773657000101,5.0,3.0,2
btc-updown-15m-1785524400,weekday,2026-07-27,12-18,T-15s_to_settlement,1,6.0,5.9399999999999995,6.0,13.0,0
btc-updown-15m-1785562200,weekend,2026-07-27,00-06,T-15m_to_T-10m,261,5740.764262,2882.3603960173728,8.246165,17.0,68
btc-updown-15m-1785562200,weekend,2026-07-27,00-06,T-10m_to_T-5m,340,6618.630954,3376.4964259979783,6.681817,9.0,98
btc-updown-15m-1785562200,weekend,2026-07-27,00-06,T-5m_to_T-2m,76,5527.768413,4354.737681009233,8.645,18.0,18
btc-updown-15m-1785562200,weekend,2026-07-27,00-06,T-2m_to_T-1m,7,1316.527,1308.8163729662813,5.01,12.0,2
btc-updown-15m-1785562200,weekend,2026-07-27,00-06,T-60s_to_T-30s,6,5699.353332,6.000000051115755,1000.0,12.0,0
btc-updown-15m-1785562200,weekend,2026-07-27,00-06,T-30s_to_T-15s,1,276.05,0.9999999862050001,276.05,15.0,0
btc-updown-15m-1785562200,weekend,2026-07-27,00-06,T-15s_to_settlement,2,2000.0,2.0,1000.0,11.0,0
btc-updown-15m-1785573000,weekend,2026-07-27,00-06,T-15m_to_T-10m,213,4060.184495,2122.78328000014,6.0,12.0,70
btc-updown-15m-1785573000,weekend,2026-07-27,00-06,T-10m_to_T-5m,298,4463.906892,2324.8304859976497,5.0,6.0,93
btc-updown-15m-1785573000,weekend,2026-07-27,00-06,T-5m_to_T-2m,199,3161.85618,1667.002960016754,7.45,6.0,54
btc-updown-15m-1785573000,weekend,2026-07-27,00-06,T-2m_to_T-1m,52,829.940469,573.380062000167,5.15625,6.0,14
btc-updown-15m-1785573000,weekend,2026-07-27,00-06,T-60s_to_T-30s,45,590.849605,209.96135400188314,5.12371,4.0,19
btc-updown-15m-1785573000,weekend,2026-07-27,00-06,T-30s_to_T-15s,14,322.591833,229.12238999999798,10.745000000000001,4.0,4
btc-updown-15m-1785573000,weekend,2026-07-27,00-06,T-15s_to_settlement,15,846.2820399999999,606.9686480001479,10.42104,11.0,2
btc-updown-15m-1785583800,weekend,2026-07-27,06-12,T-15m_to_T-10m,173,3057.919115,1528.7079259951852,9.433961,24.0,39
btc-updown-15m-1785583800,weekend,2026-07-27,06-12,T-10m_to_T-5m,278,4367.561602,2347.096388984329,8.0,12.0,86
btc-updown-15m-1785583800,weekend,2026-07-27,06-12,T-5m_to_T-2m,280,5513.875644,3108.6597159964062,7.49,6.0,78
btc-updown-15m-1785583800,weekend,2026-07-27,06-12,T-2m_to_T-1m,42,447.57769,293.90799799904437,5.0,6.0,8
btc-updown-15m-1785583800,weekend,2026-07-27,06-12,T-60s_to_T-30s,50,1325.978465,857.4472610064402,6.1899999999999995,3.0,14
btc-updown-15m-1785583800,weekend,2026-07-27,06-12,T-30s_to_T-15s,11,219.815775,183.28954699480832,5.457433,9.0,3
btc-updown-15m-1785583800,weekend,2026-07-27,06-12,T-15s_to_settlement,15,101.258141,69.89985700061867,5.0,3.0,2
btc-updown-15m-1785594600,weekend,2026-07-27,06-12,T-15m_to_T-10m,240,5812.736521,2840.5878840252185,10.178845500000001,11.0,65
btc-updown-15m-1785594600,weekend,2026-07-27,06-12,T-10m_to_T-5m,213,3451.99752,1859.4946320047188,6.0,6.0,71
btc-updown-15m-1785594600,weekend,2026-07-27,06-12,T-5m_to_T-2m,202,3032.693105,1490.4778980081503,5.26314,5.0,55
btc-updown-15m-1785594600,weekend,2026-07-27,06-12,T-2m_to_T-1m,72,1225.977568,773.9997430050403,12.3145445,8.0,9
