slug,market_start_epoch,local_date,week,weekday_weekend,et_hour_block,winner,resolution_status,trade_count,volume_shares,volume_usdc_estimate,median_trade_size,p10_trade_size,p90_trade_size,max_no_trade_interval_sec,trade_frequency_per_sec,trade_print_realized_volatility,price_jump_count_5c,price_history_points,historical_bbo_spread,historical_l2_depth
btc-updown-15m-1786971600,1786971600,2026-08-17,2026-08-17,weekday,06-12,UP,resolved,1307,33588.777635,18222.815131946,8.108107,2.380951,61.7,23.0,1.4522222222222223,1.3660773796334043,24,2,,
btc-updown-15m-1787014800,1787014800,2026-08-17,2026-08-17,weekday,18-24,DOWN,resolved,1244,31651.412919,17538.713154892674,7.471342,1.98,53.33,35.0,1.3822222222222222,4.855446545562018,7,2,,
btc-updown-15m-1787036400,1787036400,2026-08-18,2026-08-17,weekday,00-06,UP,resolved,1333,43748.840136,18979.24342107331,7.0,2.0,42.49,27.0,1.481111111111111,0.8786964939143717,18,2,,
btc-updown-15m-1787058000,1787058000,2026-08-18,2026-08-17,weekday,06-12,DOWN,resolved,653,21500.796483000002,8767.025620113815,10.0,2.028168,60.0,15.0,0.7255555555555555,5.3147892161646135,3,2,,
btc-updown-15m-1787144400,1787144400,2026-08-19,2026-08-17,weekday,06-12,UP,resolved,1175,29748.171345,15399.535110017883,10.0,1.69,50.0,73.0,1.3055555555555556,1.0902224756264038,14,2,,
btc-updown-15m-1787166000,1787166000,2026-08-19,2026-08-17,weekday,12-18,DOWN,resolved,1626,33355.652453,18398.858727012746,9.433961,1.53,43.0,26.0,1.8066666666666666,2.9430208886978213,34,2,,
btc-updown-15m-1787187600,1787187600,2026-08-19,2026-08-17,weekday,18-24,DOWN,resolved,1275,28152.058932,14502.077354974228,7.35294,1.0309,55.0,26.0,1.4166666666666667,3.0580834059003754,9,2,,
btc-updown-15m-1787252400,1787252400,2026-08-20,2026-08-17,weekday,12-18,UP,resolved,1596,60551.373992,29479.57350109712,10.0,1.08,84.44,28.0,1.7733333333333334,1.298747237443023,40,2,,
btc-updown-15m-1787274000,1787274000,2026-08-20,2026-08-17,weekday,18-24,UP,resolved,817,31712.846911,13637.764086383444,7.0,0.02,63.37,67.0,0.9077777777777778,0.36771365604658124,0,2,,
btc-updown-15m-1787295600,1787295600,2026-08-21,2026-08-17,weekday,00-06,UP,resolved,1327,37979.076472,23054.763307016194,9.09,0.02,67.272726,54.0,1.4744444444444444,0.48226718670991203,3,2,,
btc-updown-15m-1787317200,1787317200,2026-08-21,2026-08-17,weekday,06-12,DOWN,resolved,1778,39522.703497,20687.170008994144,8.0,1.0,51.0,32.0,1.9755555555555555,2.587417052675341,16,2,,
btc-updown-15m-1787360400,1787360400,2026-08-21,2026-08-17,weekday,18-24,UP,resolved,676,19621.420613,8808.74099099586,6.09545,0.02,50.0,51.0,0.7511111111111111,0.3987073669408217,1,2,,
btc-updown-15m-1787376600,1787376600,2026-08-22,2026-08-17,weekend,00-06,DOWN,resolved,1488,32526.892417,15594.043355122021,5.8961755,0.02,50.63636,51.0,1.6533333333333333,1.9739975394659646,5,2,,
btc-updown-15m-1787387400,1787387400,2026-08-22,2026-08-17,weekend,00-06,UP,resolved,1783,58600.308809,26588.180949966765,10.0,1.18,50.0,13.0,1.981111111111111,3.2536288782517238,18,2,,
btc-updown-15m-1787398200,1787398200,2026-08-22,2026-08-17,weekend,06-12,UP,resolved,490,14828.517432999999,9444.072309853853,9.8,2.0,48.05,19.0,0.5444444444444444,0.3601905651846766,3,2,,
btc-updown-15m-1787419800,1787419800,2026-08-22,2026-08-17,weekend,12-18,UP,resolved,747,17814.875543,7742.574300964872,6.014491,1.219511,42.0,26.0,0.83,0.4683028744637018,8,2,,
btc-updown-15m-1787430600,1787430600,2026-08-22,2026-08-17,weekend,12-18,UP,resolved,1073,20131.129436,10927.264828004847,7.142856,1.488635,45.0,47.0,1.1922222222222223,1.0216842742390597,17,2,,
btc-updown-15m-1787441400,1787441400,2026-08-22,2026-08-17,weekend,18-24,UP,resolved,686,20502.562271,9910.659483996458,9.0,1.89,47.16981,72.0,0.7622222222222222,0.7468821948632638,11,2,,
btc-updown-15m-1787452200,1787452200,2026-08-22,2026-08-17,weekend,18-24,UP,resolved,737,17356.957603,8934.115488036952,6.578311,1.075257,35.0,87.0,0.8188888888888889,0.23765033648347542,0,2,,
btc-updown-15m-1787463000,1787463000,2026-08-23,2026-08-17,weekend,00-06,DOWN,resolved,1137,15528.774938,8022.163248995034,5.0,0.02,29.98,24.0,1.2633333333333334,2.084133340450542,26,2,,
btc-updown-15m-1787473800,1787473800,2026-08-23,2026-08-17,weekend,00-06,UP,resolved,650,16257.87596,8722.493969018818,5.879768,1.0309,41.83,98.0,0.7222222222222222,0.4251801863277114,8,2,,
btc-updown-15m-1787484600,1787484600,2026-08-23,2026-08-17,weekend,06-12,UP,resolved,742,15303.015443,8477.152478014463,7.0,1.176469,36.0,31.0,0.8244444444444444,0.5056568117953005,8,2,,
btc-updown-15m-1787506200,1787506200,2026-08-23,2026-08-17,weekend,12-18,UP,resolved,1331,26475.296366,12619.450547016604,8.0,1.785713,40.68,29.0,1.478888888888889,1.4414575068020126,31,2,,
btc-updown-15m-1787527800,1787527800,2026-08-23,2026-08-17,weekend,18-24,DOWN,resolved,1112,20622.471422,10699.990723998626,6.465,1.041665,38.0,37.0,1.2355555555555555,2.9198092911797624,13,2,,
btc-updown-15m-1787538600,1787538600,2026-08-23,2026-08-17,weekend,18-24,UP,resolved,1396,28701.361734,14593.125010026626,7.824999999999999,1.24691,45.0,14.0,1.551111111111111,1.445538110449383,44,2,,
btc-updown-15m-1787554800,1787554800,2026-08-24,2026-08-24,weekday,00-06,UP,resolved,653,16111.681588,10347.66582999045,8.0,1.11,31.0,92.0,0.7255555555555555,0.5233036047877132,10,2,,
btc-updown-15m-1787598000,1787598000,2026-08-24,2026-08-24,weekday,12-18,UP,resolved,1319,33815.593704,18990.30232596308,9.0,1.0,47.01,21.0,1.4655555555555555,1.2389575908018617,26,2,,
btc-updown-15m-1787662800,1787662800,2026-08-25,2026-08-24,weekday,06-12,DOWN,resolved,1352,32130.027464,15890.390441893956,9.2855925,0.94,55.0,39.0,1.5022222222222221,3.3608576444478606,16,2,,
btc-updown-15m-1787684400,1787684400,2026-08-25,2026-08-24,weekday,12-18,UP,resolved,1291,42576.580914,21462.49911610335,10.0,2.0,75.0,23.0,1.4344444444444444,2.085635757819159,23,2,,
btc-updown-15m-1787706000,1787706000,2026-08-25,2026-08-24,weekday,18-24,UP,resolved,759,22313.32026,12588.865568964811,8.22,1.25,60.71,42.0,0.8433333333333334,0.3740549226885961,1,2,,
btc-updown-15m-1787727600,1787727600,2026-08-26,2026-08-24,weekday,00-06,UP,resolved,0,0,0,,,,900,0.0,,0,2,,
btc-updown-15m-1787770800,1787770800,2026-08-26,2026-08-24,weekday,12-18,DOWN,resolved,881,18372.768836,8762.850095989466,8.543475,0.92,51.0,41.0,0.9788888888888889,3.208531618606452,16,2,,
btc-updown-15m-1787814000,1787814000,2026-08-27,2026-08-24,weekday,00-06,DOWN,resolved,889,15828.932669,7700.564596035482,6.840577,1.619564,35.71,19.0,0.9877777777777778,3.9850953456103735,14,2,,
btc-updown-15m-1787835600,1787835600,2026-08-27,2026-08-24,weekday,06-12,UP,resolved,1170,27365.277831,13596.304003880237,7.8838004999999995,1.04165,49.3,54.0,1.3,0.7111210085740967,20,2,,
btc-updown-15m-1787878800,1787878800,2026-08-27,2026-08-24,weekday,18-24,UP,resolved,781,26112.834534,12653.947244981904,9.8,1.0204,61.12,46.0,0.8677777777777778,0.3807570581937605,2,2,,
btc-updown-15m-1787900400,1787900400,2026-08-28,2026-08-24,weekday,00-06,DOWN,resolved,634,22719.982081,14106.831066151752,10.0,2.0,55.0,126.0,0.7044444444444444,4.0480387610646895,4,2,,
btc-updown-15m-1787922000,1787922000,2026-08-28,2026-08-24,weekday,06-12,DOWN,resolved,893,17276.946401,8625.94636903603,8.888887,1.31,45.0,27.0,0.9922222222222222,1.9945088554916965,16,2,,
btc-updown-15m-1787981400,1787981400,2026-08-29,2026-08-24,weekend,00-06,UP,resolved,692,14148.469913,7364.887663015867,9.841718499999999,2.0,53.43,36.0,0.7688888888888888,0.7296226467296051,12,2,,
btc-updown-15m-1788003000,1788003000,2026-08-29,2026-08-24,weekend,06-12,DOWN,resolved,576,12271.638497,6659.723760028693,7.4160255,2.0,51.829266,48.0,0.64,3.2026208305406887,11,2,,
btc-updown-15m-1788013800,1788013800,2026-08-29,2026-08-24,weekend,06-12,UP,resolved,570,17061.913511,9597.94934802286,7.358187,1.923075,50.0,43.0,0.6333333333333333,0.5229580630178219,9,2,,
btc-updown-15m-1788024600,1788024600,2026-08-29,2026-08-24,weekend,12-18,UP,resolved,1065,23566.977247,12188.13664600024,9.31,1.923075,50.0,32.0,1.1833333333333333,1.5930218798768574,24,2,,
btc-updown-15m-1788035400,1788035400,2026-08-29,2026-08-24,weekend,12-18,DOWN,resolved,837,19064.555233,10421.845427945445,6.75,2.0,51.78125,21.0,0.93,2.2653745052914287,5,2,,
btc-updown-15m-1788046200,1788046200,2026-08-29,2026-08-24,weekend,18-24,DOWN,resolved,1400,34167.341948,16659.62253398909,10.0,2.1,51.361714,24.0,1.5555555555555556,2.892064738581953,36,2,,
btc-updown-15m-1788067800,1788067800,2026-08-30,2026-08-24,weekend,00-06,DOWN,resolved,704,17450.666741,9094.088444986792,8.727271,2.0,52.8,33.0,0.7822222222222223,4.063296025956413,11,2,,
btc-updown-15m-1788089400,1788089400,2026-08-30,2026-08-24,weekend,06-12,DOWN,resolved,1243,33960.051155,18005.378239829708,10.0,2.0,64.8,21.0,1.3811111111111112,3.783385027693567,27,2,,
btc-updown-15m-1788100200,1788100200,2026-08-30,2026-08-24,weekend,06-12,DOWN,resolved,650,22452.610223,12861.610957022413,10.0,1.5873,63.0,43.0,0.7222222222222222,2.3971701256425892,4,2,,
btc-updown-15m-1788111000,1788111000,2026-08-30,2026-08-24,weekend,12-18,UP,resolved,679,20499.691086,11179.60472102346,9.0,1.0204,59.9,69.0,0.7544444444444445,0.41028993808538133,1,2,,
btc-updown-15m-1788121800,1788121800,2026-08-30,2026-08-24,weekend,12-18,DOWN,resolved,976,23386.561458,11677.15354893802,9.0683325,2.0,45.454544,72.0,1.0844444444444445,3.606857314204683,8,2,,
btc-updown-15m-1788132600,1788132600,2026-08-30,2026-08-24,weekend,18-24,DOWN,resolved,1216,25606.281592,14087.227052950813,8.0,0.02,38.431371,114.0,1.3511111111111112,3.328609451007311,10,2,,
btc-updown-15m-1788181200,1788181200,2026-08-31,2026-08-31,weekday,06-12,UP,resolved,663,19014.875871,12998.79397700202,6.84,0.02,50.0,21.0,0.7366666666666667,0.31111781808534805,0,2,,
