market_slug,weekend_et,weekend_utc,public_status,public_trade_count,public_volume_shares,public_volume_usdc_estimate,median_trade_size,p10_trade_size,p90_trade_size,max_no_trade_interval_sec,trade_frequency_per_sec,price_history_points,realized_volatility,price_jump_count_gt_5c,historical_spread,historical_l2_depth,price_history_source,signal_observations,entry_attempts,submitted_orders,filled_orders,cancelled_orders,stop_loss_exits,emergency_exits,spread,depth_1c,depth_2c,depth_5c,quote_age_sec,quote_update_rate,trade_frequency,recent_volume,liquidity_score,liquidity_score_feature_count,market_start_epoch,sample_group,sample_frame_start,sample_frame_end,local_date,local_hour,time_bucket,week_index,entry_edge_samples,local_quote_samples,fill_markout_samples,top_bid_size_median,top_ask_size_median,depth_source
btc-updown-15m-1788803100,False,False,,,,,,,,,,,,,,,,442,0,0,0,0,0,0,0.01,,,,1.0295911,0.3962938173533995,,,0.694015444015444,3,,,,,,,,,221,356,0,182.3,182.3,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
btc-updown-15m-1788804000,False,False,,,,,,,,,,,,,,,,284,0,0,0,0,0,0,0.01,,,,1.0316925499999998,0.39518189205593707,,,0.6534944034944035,3,,,,,,,,,142,356,0,155.54000000000002,155.54000000000002,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
btc-updown-15m-1788804900,False,False,,,,,,,,,,,,,,,,280,0,0,0,0,0,0,0.01,,,,1.07248545,0.3645920180030053,,,0.3379255879255879,3,,,,,,,,,140,328,0,184.125,184.125,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
btc-updown-15m-1788805800,False,False,,,,,,,,,,,,,,,,432,0,0,0,0,0,0,0.01,,,,1.04404955,0.3969129418077117,,,0.6647264147264147,3,,,,,,,,,216,357,0,180.0,178.52,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
btc-updown-15m-1788806700,False,False,,,,,,,,,,,,,,,,378,0,0,0,0,0,0,0.01,,,,1.057813,0.3951524368702936,,,0.547004797004797,3,,,,,,,,,189,356,0,186.125,186.125,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
btc-updown-15m-1788807600,False,False,,,,,,,,,,,,,,,,458,0,0,0,0,0,0,0.01,,,,1.0974342,0.3941234949819348,,,0.44583869583869584,3,,,,,,,,,229,354,0,210.2,210.2,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
btc-updown-15m-1788808500,False,False,,,,,,,,,,,,,,,,342,0,0,0,0,0,0,0.01,,,,1.2889911,0.36828546502019316,,,0.23847548847548844,3,,,,,,,,,171,332,0,193.685,193.685,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
btc-updown-15m-1788809400,False,False,,,,,,,,,,,,,,,,416,0,0,0,0,0,0,0.01,,,,1.1886060999999999,0.3976253595225196,,,0.49285324285324283,3,,,,,,,,,208,358,0,207.5,207.5,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
btc-updown-15m-1788810300,False,False,,,,,,,,,,,,,,,,370,0,0,0,0,0,0,0.01,,,,1.106407,0.3955698186022668,,,0.4816212316212316,3,,,,,,,,,185,356,0,137.495,137.495,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
btc-updown-15m-1788811200,False,False,,,,,,,,,,,,,,,,356,0,0,0,0,0,0,0.01,,,,1.2661056,0.39682685487354347,,,0.4637007137007137,3,,,,,,,,,178,356,0,193.41,193.41,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
btc-updown-15m-1788812100,False,False,,,,,,,,,,,,,,,,332,0,0,0,0,0,0,0.01,,,,1.073497,0.36307576003827446,,,0.3292090792090792,3,,,,,,,,,166,326,0,186.5,186.5,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
btc-updown-15m-1788813000,False,False,,,,,,,,,,,,,,,,426,0,0,0,0,0,0,0.01,,,,1.086297,0.3969482551057623,,,0.5474922974922974,3,,,,,,,,,213,356,0,162.825,162.825,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
btc-updown-15m-1788813900,False,False,,,,,,,,,,,,,,,,444,0,0,0,0,0,0,0.01,,,,1.20058,0.3962419542443343,,,0.45233220233220234,3,,,,,,,,,222,356,0,175.0,175.0,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
btc-updown-15m-1788814800,False,False,,,,,,,,,,,,,,,,408,0,0,0,0,0,0,0.01,,,,1.1026625,0.39792655963274476,,,0.551060801060801,3,,,,,,,,,204,358,0,191.5,191.5,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
btc-updown-15m-1788815700,False,False,,,,,,,,,,,,,,,,154,0,0,0,0,0,0,0.01,,,,1.0426932,0.36794045936643854,,,0.43973518973518977,3,,,,,,,,,77,331,0,156.94,161.93,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
btc-updown-15m-1788816600,False,False,,,,,,,,,,,,,,,,398,0,0,0,0,0,0,0.01,,,,1.1607371,0.3982958667010437,,,0.5162337662337662,3,,,,,,,,,199,358,0,174.825,174.825,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
btc-updown-15m-1788817500,False,False,,,,,,,,,,,,,,,,422,0,0,0,0,0,0,0.01,,,,1.0678121,0.3981875821858612,,,0.6153913653913654,3,,,,,,,,,211,358,0,121.745,121.745,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
btc-updown-15m-1788818400,False,False,,,,,,,,,,,,,,,,416,0,0,0,0,0,0,0.01,,,,1.1157845499999999,0.39471908666145106,,,0.4362446862446862,3,,,,,,,,,208,354,0,126.89,126.89,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
btc-updown-15m-1788819300,False,False,,,,,,,,,,,,,,,,392,0,0,0,0,0,0,0.01,,,,1.0740650500000002,0.3632178791081878,,,0.32764907764907764,3,,,,,,,,,196,327,0,132.34,132.34,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
btc-updown-15m-1788820200,False,False,,,,,,,,,,,,,,,,430,0,0,0,0,0,0,0.01,,,,1.198583,0.3929720276966774,,,0.3658106158106158,3,,,,,,,,,215,354,0,205.53,205.53,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
btc-updown-15m-1788821100,False,False,,,,,,,,,,,,,,,,466,0,0,0,0,0,0,0.01,,,,1.106588,0.39291198838577984,,,0.40796965796965795,3,,,,,,,,,233,354,0,227.64499999999998,227.64499999999998,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
btc-updown-15m-1788822000,False,False,,,,,,,,,,,,,,,,418,0,0,0,0,0,0,0.01,,,,1.118181,0.39656064892889686,,,0.49096174096174094,3,,,,,,,,,209,356,0,285.0,285.0,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
btc-updown-15m-1788822900,False,False,,,,,,,,,,,,,,,,414,0,0,0,0,0,0,0.01,,,,1.131623,0.3642522080952146,,,0.2539000039000039,3,,,,,,,,,207,328,0,196.0,196.0,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
btc-updown-15m-1788823800,False,False,,,,,,,,,,,,,,,,448,0,0,0,0,0,0,0.01,,,,1.057174,0.39780036636760135,,,0.6278713778713779,3,,,,,,,,,224,354,0,182.57,182.57,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
btc-updown-15m-1788824700,False,False,,,,,,,,,,,,,,,,472,0,0,0,0,0,0,0.01,,,,1.030757,0.39226686559731216,,,0.5871748371748371,3,,,,,,,,,236,356,0,155.64,153.09,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
btc-updown-15m-1788825600,False,False,,,,,,,,,,,,,,,,364,0,0,0,0,0,0,0.01,,,,1.0388549,0.38637948928295907,,,0.49359424359424353,3,,,,,,,,,182,270,0,141.575,141.575,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
btc-updown-15m-1788863400,False,False,,,,,,,,,,,,,,,,128,0,0,0,0,0,0,0.01,,,,1.2993036,0.3752036326202966,,,0.2441304941304941,3,,,,,,,,,64,124,0,143.14999999999998,187.155,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
btc-updown-15m-1788864300,False,False,,,,,,,,,,,,,,,,308,0,0,0,0,0,0,0.01,,,,1.1746861499999999,0.38803332175046434,,,0.30538005538005536,3,,,,,,,,,154,349,0,209.73,215.46,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
