market_slug,weekend_et,weekend_utc,public_status,public_trade_count,public_volume_shares,public_volume_usdc_estimate,median_trade_size,p10_trade_size,p90_trade_size,max_no_trade_interval_sec,trade_frequency_per_sec,price_history_points,realized_volatility,price_jump_count_gt_5c,historical_spread,historical_l2_depth,price_history_source,signal_observations,entry_attempts,submitted_orders,filled_orders,cancelled_orders,stop_loss_exits,emergency_exits,spread,depth_1c,depth_2c,depth_5c,quote_age_sec,quote_update_rate,trade_frequency,recent_volume,liquidity_score,liquidity_score_feature_count,market_start_epoch,sample_group,sample_frame_start,sample_frame_end,local_date,local_hour,time_bucket,week_index,entry_edge_samples,local_quote_samples,fill_markout_samples,top_bid_size_median,top_ask_size_median,depth_source
btc-updown-15m-1785826800,False,False,SUCCESS_PUBLIC_HISTORY,668,17294.748924,9417.001977920185,8.0,2.0,49.68500000000003,70.0,0.7422222222222222,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.7422222222222222,17294.748924,,2,1785826800,weekday,2026-07-27,2026-09-20,2026-08-04,3,00-06,1,,,,,,
btc-updown-15m-1785870000,False,False,SUCCESS_PUBLIC_HISTORY,1029,25703.501666,12481.574401002827,8.0,1.928615,50.65454000000002,12.0,1.1433333333333333,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,1.1433333333333333,25703.501666,,2,1785870000,weekday,2026-07-27,2026-09-20,2026-08-04,15,12-18,1,,,,,,
btc-updown-15m-1785913200,False,False,SUCCESS_PUBLIC_HISTORY,797,16274.770026,9008.718352996584,7.14,1.6557362000000002,43.15599999999999,75.0,0.8855555555555555,8,0.45612498287201947,6,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.8855555555555555,16274.770026,,2,1785913200,weekday,2026-07-27,2026-09-20,2026-08-05,3,00-06,1,,,,,,
btc-updown-15m-1785934800,False,False,SUCCESS_PUBLIC_HISTORY,536,16538.662304,7134.8505980176205,8.2089555,1.835,74.9444435,80.0,0.5955555555555555,8,0.4928488612140643,4,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.5955555555555555,16538.662304,,2,1785934800,weekday,2026-07-27,2026-09-20,2026-08-05,9,06-12,1,,,,,,
btc-updown-15m-1785978000,False,False,SUCCESS_PUBLIC_HISTORY,886,20194.157729,8868.842339979907,7.566342000000001,2.0,47.435,19.0,0.9844444444444445,8,0.5561025085359713,5,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.9844444444444445,20194.157729,,2,1785978000,weekday,2026-07-27,2026-09-20,2026-08-05,21,18-24,1,,,,,,
btc-updown-15m-1785999600,False,False,SUCCESS_PUBLIC_HISTORY,1047,22613.597655,12143.890008989712,6.621211,2.0,46.0,15.0,1.1633333333333333,8,0.9710046343864688,6,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,1.1633333333333333,22613.597655,,2,1785999600,weekday,2026-07-27,2026-09-20,2026-08-06,3,00-06,1,,,,,,
btc-updown-15m-1786021200,False,False,SUCCESS_PUBLIC_HISTORY,818,29455.193111,16732.043134968928,9.36335,2.0,73.9700000000002,90.0,0.9088888888888889,8,0.5199240329125016,4,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.9088888888888889,29455.193111,,2,1786021200,weekday,2026-07-27,2026-09-20,2026-08-06,9,06-12,1,,,,,,
btc-updown-15m-1786107600,False,False,SUCCESS_PUBLIC_HISTORY,935,26236.432198,16276.202113133266,8.319147,1.2179228,63.70200000000003,38.0,1.038888888888889,8,0.5002499375312305,4,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,1.038888888888889,26236.432198,,2,1786107600,weekday,2026-07-27,2026-09-20,2026-08-07,9,06-12,1,,,,,,
btc-updown-15m-1786129200,False,False,SUCCESS_PUBLIC_HISTORY,526,22263.27174,12287.734418968397,11.420531,2.0,104.546391,78.0,0.5844444444444444,8,0.5200480747007915,4,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.5844444444444444,22263.27174,,2,1786129200,weekday,2026-07-27,2026-09-20,2026-08-07,15,12-18,1,,,,,,
btc-updown-15m-1786150800,False,True,SUCCESS_PUBLIC_HISTORY,780,24772.318122,13046.774553911762,7.0,2.272726,64.19999850000012,20.0,0.8666666666666667,8,0.6436225602012409,2,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.8666666666666667,24772.318122,,2,1786150800,weekday,2026-07-27,2026-09-20,2026-08-07,21,18-24,1,,,,,,
