market_slug,condition_id,token_ids,identity_source,gamma_status,trade_fetch_status,trade_rows_raw,trade_rows_matched,trade_identity_mismatch_count,trade_error_code,trade_error_endpoint,price_fetch_status,price_points,price_error_code,price_error_endpoint,gamma_error_code,gamma_error_endpoint,cache_used,fetch_status,error_code,error_stage,error_endpoint,error_message
btc-updown-15m-1788802200,0x27f4f7b268633f9bd8d51c2dbdc7b05b039a96d87dfa4c818b17def46f413211,"[""4040711825037106923036444488435532734701795493501586801400758351981542043486"", ""62413671105845184172054452180871863255342501641908579329897615091608357173740""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788802200-dd1593d4a4.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788803100,0xae3292c4f4606041eaf9a70e5e93a65b91763b058b9cd36bb858bff0f5a5e185,"[""39403670489538272497552542577056656240230618997973967301010425838679829028638""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788803100-5d3c0762f6.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788804000,0x6aa0d7bddfe8eed71cbdf0e3b3a667a12bc534778766e208192956bf29335f29,"[""23043375749135628439469337995608739319606775232391017670045575485545089799815"", ""30394639705306652274909006092541420121686283504283926929050023008885359548889""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788804000-1b87b40388.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788804900,0x3a04b942e1da6df5bb57f25d8008c3aca4a5d1e115e5cdb7afb4fc6e6321dbbc,"[""10568241037687596557644991465872648594655661772124323017145852859625162252939"", ""13416770055011674761038859137340821497973923770212495202602409967902276985911""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788804900-60b794a461.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788805800,0x123a98785aa18ce577ca6f05388787b472021c59e87216ba319f4ddbc171bfac,"[""41068969304854880667013891923114700877399084916202668628152562817291449436107"", ""653486371009814791798057373099825872988060140211414341535195831793479867611""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788805800-2710a8b82b.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788806700,0x976ba5d3cadbbbedb83c3b34f59cf3c55a9e502c8993c484e31f1a91e468c969,"[""90968544960039571806229860718079702137506529142664443123751419704933357387908""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788806700-5597c8b847.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788807600,0xbc8275c641825811b57a7b457e484fdf57675ca9781f90565c4637d3c05110b9,"[""7412322745746266365145858857096819106948290594721567399741685315714836248533"", ""86973631928535099075169448356697574183783338736445574064115522813371015763331""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788807600-95002a12d9.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788808500,0x92f8e5f77576b8ab20a9e0602fe2d6ade73406a9cbddbc73465d59851bed76cd,"[""51987012135744074818045936319568276230583645543471763863162357169193980991129""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788808500-acbc3138c5.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788809400,0xc1b34fb52772e27e6e93510293b90f7138b365c5e9578388337f878a05c13eae,"[""67173206093019110086836904262553849067231120673033601037110111949909174872418""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788809400-e3ad3e641e.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788810300,0xad322578d4a0d54b45321de7656c25ab5cd8fe0f5d8c8e4b3c8d33ebdef76f3d,"[""108210128296674866122179840525428297847684151367370068598858360300353331415639""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788810300-1bb746b6c9.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788811200,0xcb78690f4d7ea32d072e424919eb3bafab84bff9cd03941d0a97bf9ebc3a7dc1,"[""60880794092995723502656293487191264938144940407451872775501398671805473613991"", ""95584379660365861407639880129406644083121985314779835530099177700081067335810""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788811200-73628f2c29.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788812100,0x55791df4f432e391474f2d8b10ec4ff3f80cd5b5e4ddcf2e9c534ded8e3afc7f,"[""32169068367404650490429362752051466839436236989852824105119599664333715852440"", ""33722317489820455618313404308993863905635705552772905961680192159668294277010""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788812100-32a07ed4d7.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788813000,0x42e2faf6cc8488a58ceb637268a96a2cc65fb712f04cf56812d4ae0ce1db8167,"[""101700813736982602042074461212481293536890101780281775410493408146384625178059""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788813000-8676e4f961.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788813900,0x373cb0dc1a55002e08479b38fa3204e439057c727e9730b671bf2ee0ad9477aa,"[""29226425136818754668291893445979962437310754256862465965471071503680376237739""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788813900-bcb0b8a4ff.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788814800,0xb9754974a126725fe7d56e161f3c07ca29ceb8d64070baf37bdb449b20f9a1e0,"[""40681105660594828473101497284989667297134641855491175528602436991133274330087""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788814800-cc1b5ab0fd.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788815700,0xfaa869fac03c517fc550bb0a269cffa8836c726a6d7acd29e9067642a8e3a3b4,"[""104946509506469694291319025906480465298185996578163348837824169793273383350457"", ""59462287029180098464852307329525244205838249189154021696507010277957892159587""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788815700-bb1569c26d.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788816600,0x105d066a2689259d47da78483ad1e1652ff1c7a7467b2c99b9086e40a20f9640,"[""87375572487233871456292673170156680170371847368547880910095015375008266743322"", ""90592178890816320804238877378279489255292652547394264786769997037838631620155""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788816600-5573392453.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788817500,0xc062faf2481e550507a66c9eb3411deb56198ffeb4e19d51f6a9887c4dc22e89,"[""97211855613380150654205637110859148605470698640549078273837891945102712398224""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788817500-970be218d9.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788818400,0x344b7dbf2636e063c76c67488d68e35e29b967cf614366cf384a8c44132ad70d,"[""15244528170697602182381301006191513890778015679850092927863152955845459708202"", ""28479541555984018166276579186011964990179106678401290304590611729095286215488""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788818400-712a749653.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788819300,0x8b7682844f1e06744770e2c81a4505e38eb675dc9e96f237fe47d0e18ebc1230,"[""87069812873251439759359212067798572284858159704385945839587155135912743887852"", ""96230770694070680992541432536246947552050987768247088036898035644718775445190""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788819300-322e11284b.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788820200,0x58bdd4df6fbeb53a72e44b7ecb978e5be6bab5b5b67c6872649673dfdfeb065d,"[""50046527150258155810714437710814689608053809192302653741763451898652241469003"", ""98901258015166732398857331267142165997466781447645397316490392464214119263800""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788820200-7126307f29.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788821100,0x88fa71e8784279763d27ddbb545e1bf6d8bc5245fa26d1b5698e49b8123a3c75,"[""35364659034230269977277155690618670547301991022077875080452123701999073089320""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788821100-b67372d5b6.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788822000,0xef532aa8ad1e927b37cab50638ec2c44ceb27a9d2c70425ccdddb94392173262,"[""26027758488625056796089874404984474193796701320975325072041253943107752766534""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788822000-a811977d39.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788822900,0x803b7cfc1c2c4db4792dcdde7130f37f97ac809bf1827bc7f23beac46294e408,"[""11103456790189813062521892960957916406132567234606720931064038127567691322939"", ""66164045934060271786144991025460930264955973611326269106691984568149719048792""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788822900-db8a1a8500.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788823800,0xf92121d79dabcbb8c11048259eaec75f988991ee3dca4d604cb218ad24aaa0a5,"[""43288384196895013348403320111979166898008573411761804235762612858211277524468"", ""65177003460902786687664778781330584476443467902826033855223866564519671926748""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788823800-1d243919f2.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788824700,0xc45e13897a9e532f6c429de9d13366e64b24c33e0fa8757c976c765007ab0b4e,"[""74188658428783678845016418049001164256535275568924749708477741734117437646042""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788824700-3306a69c15.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788825600,0x5bbdc6168633a8c44bcaee82cf9fbeac55383ce0dff4aa45bbde6e87d9077074,"[""27430453043427351677228798989029030019209678342731508372333791308035612602387"", ""55870132619117592322677936124123853442656379374527122216353727864713219795886""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788825600-405ed78cc9.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788863400,0x3c97cc80688361aed93acb258419490c6bfdbc026e7beeb8d919cd7eb9a583bf,"[""40318450309933149207925277500887734132211060635650062733047064488040855919004"", ""58809927025029949435787244755383041487762410462026084119928138093353977768840""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788863400-830959968f.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788864300,0x46bca111e8ce383fa2c8174d1f273846f344ce61ba6a6ce8e5cae2c2c6c98b3c,"[""60180453066388051371612804397783685353895963165658889014040331062236256122036"", ""96961863540647238068814075689261931912797731986908901788816088801293899481945""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788864300-6a99a96598.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788865200,0x8bbafecc851171f9ee441ec3c976b83ae749b20a58c20fa4b027cbe985a1976d,"[""55553974947327847468635632080247772416894112308734658322120892168435424708738"", ""66467465509059036373439349996936716230079325929202765543698126698732335339674""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788865200-bbae927c0c.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788866100,0xfeb4aa69acfe24ba31246edbfc28b6c356442b6937fd99c343931e611aec8817,"[""48897993088344066776211045650243423868945250412838941773599242859623149425445""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788866100-3666c3d261.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788867000,0xc5736d80404363f96b90a49ad67bfe7079d18f850753253c3b2efd6edddf5334,"[""1051439550083028082164954073104356917437686138616711908501801322850453020286"", ""8847810217278528166777933001632078457994978153896261298362883911269144969794""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788867000-a28f8ac1b7.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788867900,0x5e6a36003e036614ba19ede3f7dc0f4bfc9fb1ad5d04cc68c0308e8d3c13a2be,"[""101846162566786139393219262781154701980110540026736218985444961640154417378979"", ""25802121041135028867439118366552565392582183896788884555650820104961280522588""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788867900-5be5a007cf.json,offline mode: no reusable structured cache entry
